timestamp_ms,request_type,backend_selected,response_time_ms
1760426867895,GET,2,9.03158
1760426867924,GET,4,37.7487
1760426867927,PUT,1,40.2466
1760426867935,GET,3,49.1261
1760426867942,PUT,2,55.1055
1760426867967,PUT,1,12.537
1760426867972,GET,1,86.106
1760426867986,PUT,2,99.1683
1760426868000,GET,4,0.71075
1760426868012,GET,3,72.2429
1760426868012,GET,4,69.2027
1760426868024,PUT,1,10.5659
1760426868058,PUT,3,74.9405
1760426868152,PUT,1,112.052
1760426868391,GET,2,225.581
1760426868423,PUT,3,468.508
1760426868482,GET,4,45.4842
1760426868493,PUT,1,41.03
1760426868730,GET,2,225.277
1760426868876,PUT,3,986.263
1760426868902,PUT,4,986.676
1760426868952,GET,2,36.235
1760426869064,GET,3,91.8146
1760426869139,PUT,1,247.92
1760426869164,PUT,2,12.1557
1760426869176,PUT,3,0.730125
1760426869370,PUT,4,869.268
1760426870297,GET,1,914.05
1760426870453,PUT,2,10.3095
1760426871025,GET,1,2176.3
1760426871343,PUT,3,11.3643
1760426871584,GET,4,228.467
1760426872088,GET,1,458.425
1760426872249,GET,2,85.0174
1760426872317,GET,3,4318.08
1760426872367,GET,4,4297.01
1760426872371,GET,2,4334.51
1760426872707,PUT,4,400.568
1760426873150,PUT,2,427.712
1760426873232,GET,4,4140.66
1760426873699,PUT,3,5652.1
1760426874664,PUT,1,5465.97
1760426874761,PUT,4,81.8786
1760426875409,GET,1,635.435
1760426875520,PUT,3,5017.23
1760426875522,PUT,3,108.903
1760426875528,GET,1,3.25371
1760426875533,GET,4,12.8094
1760426875978,GET,3,416.599
1760426876041,PUT,3,496.797
1760426876064,GET,1,11.2215
1760426876112,PUT,3,6.48129
1760426876125,PUT,2,2948.21
1760426876219,PUT,2,682.988
1760426876222,PUT,2,134.585
1760426876235,PUT,2,3.82142
1760426876308,PUT,4,2587.91
1760426876414,GET,3,92.8327
1760426876425,GET,2,891.593
1760426876486,GET,4,29.4967
1760426876525,GET,1,387.113
1760426876542,GET,1,29.6155
1760426876609,PUT,2,36.5508
1760426876630,GET,3,8.26429
1760426876657,PUT,4,5.59954
1760426876807,PUT,2,98.1386
1760426877005,PUT,3,768.056
1760426877112,GET,4,93.6458
1760426877226,GET,1,87.5593
1760426877306,GET,2,53.6116
1760426877524,GET,1,855.16
1760426878233,GET,1,2391.01
1760426878409,GET,4,2284.57
1760426879124,PUT,1,93.3554
1760426879167,GET,3,4.93133
1760426879247,PUT,4,2420.26
1760426879297,GET,3,1972.51
1760426879521,GET,2,384.892
1760426879638,GET,4,456.939
1760426879660,GET,1,399.981
1760426879782,GET,3,40.516
1760426879803,GET,4,46.6914
1760426879827,GET,2,188.941
1760426880107,PUT,2,459.812
1760426880278,GET,4,4328.77
1760426880292,PUT,3,464.554
1760426880565,PUT,1,4310.5
1760426880661,PUT,2,849.693
1760426880671,PUT,1,549.4
1760426880811,PUT,1,232.297
1760426881280,PUT,4,4624.21
1760426881282,PUT,4,608.336
1760426881286,PUT,2,1407
1760426881294,PUT,4,0.394625
1760426881300,PUT,1,6.82946
1760426881307,GET,4,0.2685
1760426881312,PUT,1,0.329666
1760426881324,PUT,2,4.53533
1760426881346,GET,2,47.3621
1760426881403,PUT,1,4.25208
1760426881418,GET,2,2.41858
1760426881418,PUT,3,3761.81
1760426881420,PUT,4,83.1575
1760426881435,PUT,4,1.89879
1760426881439,PUT,1,6.36983
1760426881455,PUT,2,2.99354
1760426881599,PUT,3,911.435
1760426881606,PUT,3,311.555
1760426881610,PUT,3,284.438
1760426881610,GET,3,178.871
1760426881614,PUT,4,1.99667
1760426881627,GET,2,0.563834
1760426881854,PUT,4,212.409
1760426881859,GET,1,236.36
1760426881977,GET,2,11.6269
1760426882038,PUT,3,1207.74
1760426882053,GET,4,2.34567
1760426882056,PUT,3,437.297
1760426882056,PUT,3,62.048
1760426882075,PUT,3,7.633
1760426882084,PUT,4,15.4788
1760426882088,GET,2,19.1468
1760426882115,PUT,2,17.2631
1760426882194,PUT,4,81.667
1760426882265,PUT,1,638.561
1760426882616,GET,3,488.511
1760426882707,PUT,1,1257.06
1760426882723,GET,1,516.666
1760426882732,GET,3,10.8447
1760426882751,GET,1,884.648
1760426882759,GET,4,19.6348
1760426882839,PUT,1,91.1294
1760426882931,GET,2,3.35446
1760426883111,PUT,1,163.684
1760426883126,PUT,4,272.714
1760426883144,PUT,2,4.49321
1760426883189,GET,2,910.857
1760426883411,PUT,3,1317.58
1760426883415,GET,3,258.586
1760426883424,PUT,1,2.02763
1760426883436,GET,2,4.90221
1760426883444,PUT,3,8.52267
1760426883462,PUT,1,6.96017
1760426883465,GET,4,196.219
1760426883559,PUT,2,84.3465
1760426883574,GET,3,2.49037
1760426883592,GET,4,3.70213
1760426883617,PUT,2,8.97221
1760426883628,PUT,3,0.240917
1760426883669,GET,4,217.057
1760426883691,GET,1,93.3912
1760426883733,GET,4,92.1168
1760426883803,GET,2,4.72642
1760426883822,GET,3,1.09458
1760426883900,GET,4,0.341667
1760426883904,GET,1,211.116
1760426884099,GET,2,3.93763
1760426884196,PUT,1,358.727
1760426884223,PUT,3,14.4453
1760426884406,GET,4,169.802
